neuron,label,count
2268,Bag,7
2268,Pullover,3
2194,Bag,6
2194,Pullover,3
2194,Shirt,1
29,Trouser,1
29,Bag,6
29,Shirt,1
29,Pullover,2
847,Bag,3
847,Pullover,7
1676,Dress,1
1676,T-shirt/top,6
1676,Shirt,2
1676,Pullover,1
802,Bag,3
802,Pullover,2
802,T-shirt/top,2
802,Dress,1
802,Shirt,2
490,Pullover,3
490,Bag,7
1840,Bag,5
1840,T-shirt/top,1
1840,Pullover,2
1840,Coat,1
1840,Shirt,1
1003,Pullover,4
1003,Bag,5
1003,T-shirt/top,1
1497,Trouser,1
1497,Bag,1
1497,T-shirt/top,6
1497,Shirt,1
1497,Pullover,1
634,Shirt,1
634,Bag,4
634,Pullover,5
1046,Bag,6
1046,T-shirt/top,2
1046,Pullover,2
119,Pullover,2
119,Bag,7
119,Coat,1
2089,Pullover,2
2089,Bag,6
2089,Shirt,1
2089,T-shirt/top,1
2074,Bag,7
2074,Pullover,2
2074,Trouser,1
2031,Pullover,6
2031,Bag,1
2031,Shirt,1
2031,Coat,1
2031,T-shirt/top,1
1302,Bag,6
1302,Shirt,1
1302,Pullover,2
1302,T-shirt/top,1
570,Bag,6
570,Pullover,3
570,Shirt,1
1347,Bag,6
1347,Pullover,3
1347,Trouser,1
1796,Bag,5
1796,Shirt,1
1796,Pullover,4
218,Bag,6
218,Pullover,3
218,Shirt,1
2196,Bag,6
2196,Shirt,1
2196,Pullover,3
1674,Bag,6
1674,Pullover,2
1674,T-shirt/top,1
1674,Coat,1
800,Bag,8
800,Trouser,1
800,Pullover,1
1631,Pullover,4
1631,Coat,1
1631,Shirt,1
1631,Bag,4
1159,Trouser,1
1159,Bag,6
1159,Shirt,1
1159,Pullover,2
1588,Bag,6
1588,Pullover,3
1588,T-shirt/top,1
2297,Bag,6
2297,Pullover,2
2297,Shirt,1
2297,Trouser,1
307,Bag,7
307,Pullover,2
307,Coat,1
1530,Pullover,4
1530,Bag,5
1530,Shirt,1
793,T-shirt/top,8
793,Dress,2
1258,Pullover,1
1258,Coat,1
1258,T-shirt/top,3
1258,Bag,3
1258,Ankle boot,1
1258,Trouser,1
1468,Bag,6
1468,Trouser,1
1468,Pullover,2
1468,Shirt,1
2076,Bag,5
2076,T-shirt/top,1
2076,Trouser,1
2076,Pullover,3
2033,Bag,7
2033,Pullover,3
1300,Bag,7
1300,Pullover,3
1345,Bag,6
1345,Trouser,1
1345,Coat,1
1345,Pullover,1
1345,Shirt,1
537,Pullover,3
537,Coat,1
537,Bag,5
537,Shirt,1
1794,Pullover,4
1794,Bag,5
1794,Trouser,1
1842,Pullover,5
1842,T-shirt/top,1
1842,Shirt,2
1842,Bag,2
163,Pullover,3
163,Bag,4
163,T-shirt/top,1
163,Shirt,1
163,Coat,1
1711,Shirt,2
1711,Bag,1
1711,Pullover,3
1711,T-shirt/top,3
1711,Dress,1
965,Shirt,1
965,T-shirt/top,7
965,Bag,1
965,Dress,1
1385,Bag,7
1385,Trouser,1
1385,Pullover,2
1079,T-shirt/top,1
1079,Pullover,7
1079,Coat,1
1079,Bag,1
1455,Bag,6
1455,Trouser,1
1455,Coat,1
1455,T-shirt/top,1
1455,Pullover,1
1084,Bag,6
1084,Pullover,2
1084,Trouser,1
1084,T-shirt/top,1
227,Bag,6
227,Pullover,3
227,Shirt,1
998,T-shirt/top,2
998,Bag,4
998,Pullover,3
998,Coat,1
1199,T-shirt/top,2
1199,Pullover,1
1199,Coat,1
1199,Shirt,2
1199,Bag,4
1265,Shirt,1
1265,Pullover,2
1265,Bag,7
885,Pullover,4
885,Bag,4
885,T-shirt/top,1
885,Shirt,1
417,Bag,7
417,Pullover,1
417,T-shirt/top,1
417,Shirt,1
2113,Bag,7
2113,Pullover,2
2113,Shirt,1
2156,Bag,5
2156,Pullover,4
2156,T-shirt/top,1
16,Shirt,1
16,T-shirt/top,6
16,Pullover,3
53,Pullover,2
53,Bag,6
53,T-shirt/top,1
53,Trouser,1
1649,Bag,7
1649,Shirt,2
1649,Trouser,1
1298,Pullover,4
1298,Shirt,1
1298,Bag,4
1298,T-shirt/top,1
878,Bag,8
